supermuc    mpi     1   0    186.55
supermuc    mpi     1   1    140.05
supermuc    mpi     1   2    185.30
supermuc    mpi     1   3    159.17
supermuc    mpi     1   4    136.27
supermuc    mpi     1   5    187.36
supermuc    mpi     1   6    173.20
supermuc    mpi     1   7    141.41
supermuc    mpi     1   8    137.93
supermuc    mpi     1   9    187.22
supermuc    mpi     2   0     89.29
supermuc    mpi     2   1     88.07
supermuc    mpi     2   2     84.26
supermuc    mpi     2   3     88.45
supermuc    mpi     2   4     71.03
supermuc    mpi     2   5     76.07
supermuc    mpi     2   6     88.81
supermuc    mpi     2   7     79.64
supermuc    mpi     2   8     82.32
supermuc    mpi     2   9     87.78
supermuc    mpi     3   0     29.69
supermuc    mpi     3   1     29.49
supermuc    mpi     3   2     46.91
supermuc    mpi     3   3     45.57
supermuc    mpi     3   4     41.57
supermuc    mpi     3   5     46.30
supermuc    mpi     3   6     46.85
supermuc    mpi     3   7     40.86
supermuc    mpi     3   8     22.70
supermuc    mpi     3   9     22.48
supermuc    mpi     4   0     35.02
supermuc    mpi     4   1     36.04
supermuc    mpi     4   2     35.69
supermuc    mpi     4   3     43.14
supermuc    mpi     4   4     38.05
supermuc    mpi     4   5     43.26
supermuc    mpi     4   6     37.21
supermuc    mpi     4   7     42.98
supermuc    mpi     4   8     24.69
supermuc    mpi     4   9     25.02
supermuc    mpi     5   0     40.20
supermuc    mpi     5   1     39.00
supermuc    mpi     5   2     40.29
supermuc    mpi     5   3     40.22
supermuc    mpi     5   4     33.27
supermuc    mpi     5   5     33.58
supermuc    mpi     5   6     33.47
supermuc    mpi     5   7     29.86
supermuc    mpi     5   8     20.87
supermuc    mpi     5   9     20.74
supermuc    mpi     6   0     30.34
supermuc    mpi     6   1     30.50
supermuc    mpi     6   2     30.50
supermuc    mpi     6   3     25.07
supermuc    mpi     6   4     30.28
supermuc    mpi     6   5     30.38
supermuc    mpi     6   6     14.07
supermuc    mpi     6   7     22.89
supermuc    mpi     6   8     18.25
supermuc    mpi     6   9     10.32
supermuc    mpi     7   0     15.26
supermuc    mpi     7   1     10.00
supermuc    mpi     7   2     14.81
supermuc    mpi     7   3     14.81
supermuc    mpi     7   4     15.36
supermuc    mpi     7   5     16.62
supermuc    mpi     7   6     16.40
supermuc    mpi     7   7     16.96
supermuc    mpi     7   8     16.97
supermuc    mpi     7   9      8.17
supermuc    mpi     8   0     10.05
supermuc    mpi     8   1      9.32
